adversarial_fraction,seed,algorithm,accuracy
0.7,1001,reputation_weighted,0.76
0.7,1001,time_decayed,0.72
0.7,1002,majority_vote,0.14
0.7,1002,reputation_weighted,0.84
0.7,1002,time_decayed,0.86
0.7,1003,majority_vote,0.02
0.7,1003,reputation_weighted,0.74
0.7,1003,time_decayed,0.66
0.7,1004,majority_vote,0.04
0.7,1004,reputation_weighted,0.88
0.7,1004,time_decayed,0.78
0.7,1005,majority_vote,0.06
0.7,1005,reputation_weighted,0.84
0.7,1005,time_decayed,0.66
0.7,1006,majority_vote,0.08
0.7,1006,reputation_weighted,0.92
0.7,1006,time_decayed,0.74
0.7,1007,majority_vote,0.08
0.7,1007,reputation_weighted,0.84
0.7,1007,time_decayed,0.74
0.7,1008,majority_vote,0.04
0.7,1008,reputation_weighted,0.84
0.7,1008,time_decayed,0.76
0.7,1009,majority_vote,0.02
0.7,1009,reputation_weighted,0.84
0.7,1009,time_decayed,0.78
0.7,1010,majority_vote,0.04
0.7,1010,reputation_weighted,0.96
0.7,1010,time_decayed,0.9
0.7,1011,majority_vote,0.12
0.7,1011,reputation_weighted,0.78
0.7,1011,time_decayed,0.72
0.7,1012,majority_vote,0.02
0.7,1012,reputation_weighted,0.88
0.7,1012,time_decayed,0.74
0.7,1013,majority_vote,0.0
0.7,1013,reputation_weighted,0.74
0.7,1013,time_decayed,0.7
0.7,1014,majority_vote,0.08
0.7,1014,reputation_weighted,0.94
0.7,1014,time_decayed,0.82
0.7,1015,majority_vote,0.06
0.7,1015,reputation_weighted,0.84
0.7,1015,time_decayed,0.7
0.7,1016,majority_vote,0.06
0.7,1016,reputation_weighted,0.86
0.7,1016,time_decayed,0.86
0.7,1017,majority_vote,0.06
0.7,1017,reputation_weighted,0.9
0.7,1017,time_decayed,0.82
0.7,1018,majority_vote,0.04
0.7,1018,reputation_weighted,0.86
0.7,1018,time_decayed,0.72
0.7,1019,majority_vote,0.06
0.7,1019,reputation_weighted,0.92
0.7,1019,time_decayed,0.74
0.7,1020,majority_vote,0.02
0.7,1020,reputation_weighted,0.92
0.7,1020,time_decayed,0.76
0.7,1021,majority_vote,0.04
0.7,1021,reputation_weighted,0.74
0.7,1021,time_decayed,0.76
0.7,1022,majority_vote,0.0
0.7,1022,reputation_weighted,0.92
0.7,1022,time_decayed,0.8
