flip_probability,seed,algorithm,accuracy
0.6,2027,majority_vote,0.58
0.6,2027,reputation_weighted,0.66
0.6,2027,time_decayed,0.86
0.6,2028,majority_vote,0.7
0.6,2028,reputation_weighted,0.72
0.6,2028,time_decayed,0.82
0.6,2029,majority_vote,0.78
0.6,2029,reputation_weighted,0.82
0.6,2029,time_decayed,0.96
0.7,2000,majority_vote,0.7
0.7,2000,reputation_weighted,0.72
0.7,2000,time_decayed,0.8
0.7,2001,majority_vote,0.68
0.7,2001,reputation_weighted,0.74
0.7,2001,time_decayed,0.86
0.7,2002,majority_vote,0.54
0.7,2002,reputation_weighted,0.58
0.7,2002,time_decayed,0.76
0.7,2003,majority_vote,0.52
0.7,2003,reputation_weighted,0.62
0.7,2003,time_decayed,0.78
0.7,2004,majority_vote,0.6
0.7,2004,reputation_weighted,0.64
0.7,2004,time_decayed,0.76
0.7,2005,majority_vote,0.66
0.7,2005,reputation_weighted,0.74
0.7,2005,time_decayed,0.84
0.7,2006,majority_vote,0.6
0.7,2006,reputation_weighted,0.62
0.7,2006,time_decayed,0.82
0.7,2007,majority_vote,0.76
0.7,2007,reputation_weighted,0.84
0.7,2007,time_decayed,0.9
0.7,2008,majority_vote,0.62
0.7,2008,reputation_weighted,0.66
0.7,2008,time_decayed,0.8
0.7,2009,majority_vote,0.64
0.7,2009,reputation_weighted,0.7
0.7,2009,time_decayed,0.78
0.7,2010,majority_vote,0.66
0.7,2010,reputation_weighted,0.7
0.7,2010,time_decayed,0.86
0.7,2011,majority_vote,0.68
0.7,2011,reputation_weighted,0.76
0.7,2011,time_decayed,0.86
0.7,2012,majority_vote,0.6
0.7,2012,reputation_weighted,0.66
0.7,2012,time_decayed,0.82
0.7,2013,majority_vote,0.66
0.7,2013,reputation_weighted,0.74
0.7,2013,time_decayed,0.84
0.7,2014,majority_vote,0.54
0.7,2014,reputation_weighted,0.64
0.7,2014,time_decayed,0.8
0.7,2015,majority_vote,0.62
0.7,2015,reputation_weighted,0.68
0.7,2015,time_decayed,0.84
0.7,2016,majority_vote,0.66
0.7,2016,reputation_weighted,0.76
0.7,2016,time_decayed,0.9
0.7,2017,majority_vote,0.74
0.7,2017,reputation_weighted,0.78
0.7,2017,time_decayed,0.88
0.7,2018,majority_vote,0.66
0.7,2018,reputation_weighted,0.76
0.7,2018,time_decayed,0.9
0.7,2019,majority_vote,0.64
0.7,2019,reputation_weighted,0.64
0.7,2019,time_decayed,0.82
0.7,2020,majority_vote,0.7
0.7,2020,reputation_weighted,0.74
0.7,2020,time_decayed,0.74
0.7,2021,majority_vote,0.68
0.7,2021,reputation_weighted,0.78
0.7,2021,time_decayed,0.94
0.7,2022,majority_vote,0.6
0.7,2022,reputation_weighted,0.58
0.7,2022,time_decayed,0.78
0.7,2023,majority_vote,0.64
0.7,2023,reputation_weighted,0.72
0.7,2023,time_decayed,0.8
0.7,2024,majority_vote,0.66
0.7,2024,reputation_weighted,0.72
0.7,2024,time_decayed,0.84
0.7,2025,majority_vote,0.66
0.7,2025,reputation_weighted,0.72
0.7,2025,time_decayed,0.86
0.7,2026,majority_vote,0.68
0.7,2026,reputation_weighted,0.76
0.7,2026,time_decayed,0.88
0.7,2027,majority_vote,0.48
0.7,2027,reputation_weighted,0.52
0.7,2027,time_decayed,0.76
0.7,2028,majority_vote,0.6
0.7,2028,reputation_weighted,0.66
0.7,2028,time_decayed,0.8
0.7,2029,majority_vote,0.76
0.7,2029,reputation_weighted,0.8
0.7,2029,time_decayed,0.92
0.8,2000,majority_vote,0.66
0.8,2000,reputation_weighted,0.7
0.8,2000,time_decayed,0.8
0.8,2001,majority_vote,0.66
0.8,2001,reputation_weighted,0.7
0.8,2001,time_decayed,0.82
0.8,2002,majority_vote,0.62
0.8,2002,reputation_weighted,0.68
0.8,2002,time_decayed,0.84
0.8,2003,majority_vote,0.5
0.8,2003,reputation_weighted,0.58
0.8,2003,time_decayed,0.8
0.8,2004,majority_vote,0.66
0.8,2004,reputation_weighted,0.68
0.8,2004,time_decayed,0.78
0.8,2005,majority_vote,0.58
0.8,2005,reputation_weighted,0.6
0.8,2005,time_decayed,0.76
0.8,2006,majority_vote,0.6
0.8,2006,reputation_weighted,0.66
0.8,2006,time_decayed,0.82
0.8,2007,majority_vote,0.64
0.8,2007,reputation_weighted,0.66
0.8,2007,time_decayed,0.92
0.8,2008,majority_vote,0.56
0.8,2008,reputation_weighted,0.66
0.8,2008,time_decayed,0.82
0.8,2009,majority_vote,0.66
0.8,2009,reputation_weighted,0.74
0.8,2009,time_decayed,0.8
0.8,2010,majority_vote,0.54
0.8,2010,reputation_weighted,0.64
0.8,2010,time_decayed,0.74
0.8,2011,majority_vote,0.58
0.8,2011,reputation_weighted,0.66
0.8,2011,time_decayed,0.82
0.8,2012,majority_vote,0.64
0.8,2012,reputation_weighted,0.66
0.8,2012,time_decayed,0.82
0.8,2013,majority_vote,0.62
0.8,2013,reputation_weighted,0.68
0.8,2013,time_decayed,0.8
0.8,2014,majority_vote,0.48
0.8,2014,reputation_weighted,0.56
0.8,2014,time_decayed,0.82
0.8,2015,majority_vote,0.62
0.8,2015,reputation_weighted,0.64
0.8,2015,time_decayed,0.74
0.8,2016,majority_vote,0.48
0.8,2016,reputation_weighted,0.58
0.8,2016,time_decayed,0.82
0.8,2017,majority_vote,0.6
0.8,2017,reputation_weighted,0.66
0.8,2017,time_decayed,0.82
0.8,2018,majority_vote,0.52
0.8,2018,reputation_weighted,0.56
0.8,2018,time_decayed,0.74
0.8,2019,majority_vote,0.56
0.8,2019,reputation_weighted,0.6
0.8,2019,time_decayed,0.78
0.8,2020,majority_vote,0.7
0.8,2020,reputation_weighted,0.74
0.8,2020,time_decayed,0.78
0.8,2021,majority_vote,0.76
0.8,2021,reputation_weighted,0.76
0.8,2021,time_decayed,0.9
0.8,2022,majority_vote,0.48
0.8,2022,reputation_weighted,0.52
