adversarial_fraction,flip_probability,seed,algorithm,accuracy
0.4,0.4,5027,reputation_weighted,0.84
0.4,0.4,5027,time_decayed,0.82
0.4,0.4,5028,majority_vote,0.54
0.4,0.4,5028,reputation_weighted,0.84
0.4,0.4,5028,time_decayed,0.84
0.4,0.4,5029,majority_vote,0.48
0.4,0.4,5029,reputation_weighted,0.88
0.4,0.4,5029,time_decayed,0.78
0.4,0.8,5000,majority_vote,0.52
0.4,0.8,5000,reputation_weighted,0.64
0.4,0.8,5000,time_decayed,0.62
0.4,0.8,5001,majority_vote,0.52
0.4,0.8,5001,reputation_weighted,0.6
0.4,0.8,5001,time_decayed,0.68
0.4,0.8,5002,majority_vote,0.52
0.4,0.8,5002,reputation_weighted,0.72
0.4,0.8,5002,time_decayed,0.68
0.4,0.8,5003,majority_vote,0.46
0.4,0.8,5003,reputation_weighted,0.56
0.4,0.8,5003,time_decayed,0.6
0.4,0.8,5004,majority_vote,0.46
0.4,0.8,5004,reputation_weighted,0.66
0.4,0.8,5004,time_decayed,0.66
0.4,0.8,5005,majority_vote,0.58
0.4,0.8,5005,reputation_weighted,0.68
0.4,0.8,5005,time_decayed,0.66
0.4,0.8,5006,majority_vote,0.44
0.4,0.8,5006,reputation_weighted,0.52
0.4,0.8,5006,time_decayed,0.48
0.4,0.8,5007,majority_vote,0.46
0.4,0.8,5007,reputation_weighted,0.58
0.4,0.8,5007,time_decayed,0.68
0.4,0.8,5008,majority_vote,0.5
0.4,0.8,5008,reputation_weighted,0.68
0.4,0.8,5008,time_decayed,0.7
0.4,0.8,5009,majority_vote,0.48
0.4,0.8,5009,reputation_weighted,0.6
0.4,0.8,5009,time_decayed,0.7
0.4,0.8,5010,majority_vote,0.44
0.4,0.8,5010,reputation_weighted,0.58
0.4,0.8,5010,time_decayed,0.64
0.4,0.8,5011,majority_vote,0.56
0.4,0.8,5011,reputation_weighted,0.72
0.4,0.8,5011,time_decayed,0.72
0.4,0.8,5012,majority_vote,0.54
0.4,0.8,5012,reputation_weighted,0.62
0.4,0.8,5012,time_decayed,0.68
0.4,0.8,5013,majority_vote,0.56
0.4,0.8,5013,reputation_weighted,0.6
0.4,0.8,5013,time_decayed,0.64
0.4,0.8,5014,majority_vote,0.52
0.4,0.8,5014,reputation_weighted,0.74
0.4,0.8,5014,time_decayed,0.7
0.4,0.8,5015,majority_vote,0.36
0.4,0.8,5015,reputation_weighted,0.5
