report_probability,seed,algorithm,accuracy,reports_per_atm,zero_report_fraction
0.1,4024,reputation_weighted,0.72,2.82,0.06
0.1,4024,time_decayed,0.62,2.82,0.06
0.1,4025,majority_vote,0.6,2.8,0.04
0.1,4025,reputation_weighted,0.74,2.8,0.04
0.1,4025,time_decayed,0.64,2.8,0.04
0.1,4026,majority_vote,0.74,3.08,0.08
0.1,4026,reputation_weighted,0.78,3.08,0.08
0.1,4026,time_decayed,0.76,3.08,0.08
0.1,4027,majority_vote,0.76,3.26,0.02
0.1,4027,reputation_weighted,0.92,3.26,0.02
0.1,4027,time_decayed,0.78,3.26,0.02
0.1,4028,majority_vote,0.68,3.14,0.02
0.1,4028,reputation_weighted,0.78,3.14,0.02
0.1,4028,time_decayed,0.76,3.14,0.02
0.1,4029,majority_vote,0.68,3.42,0.02
0.1,4029,reputation_weighted,0.82,3.42,0.02
0.1,4029,time_decayed,0.8,3.42,0.02
0.15,4000,majority_vote,0.76,4.54,0.0
0.15,4000,reputation_weighted,0.86,4.54,0.0
0.15,4000,time_decayed,0.88,4.54,0.0
0.15,4001,majority_vote,0.62,4.4,0.02
0.15,4001,reputation_weighted,0.8,4.4,0.02
0.15,4001,time_decayed,0.74,4.4,0.02
0.15,4002,majority_vote,0.68,4.52,0.02
0.15,4002,reputation_weighted,0.94,4.52,0.02
0.15,4002,time_decayed,0.92,4.52,0.02
0.15,4003,majority_vote,0.64,4.52,0.0
0.15,4003,reputation_weighted,0.88,4.52,0.0
0.15,4003,time_decayed,0.86,4.52,0.0
0.15,4004,majority_vote,0.64,4.42,0.02
0.15,4004,reputation_weighted,0.82,4.42,0.02
0.15,4004,time_decayed,0.8,4.42,0.02
0.15,4005,majority_vote,0.68,4.7,0.0
0.15,4005,reputation_weighted,0.86,4.7,0.0
0.15,4005,time_decayed,0.82,4.7,0.0
0.15,4006,majority_vote,0.54,4.28,0.04
0.15,4006,reputation_weighted,0.82,4.28,0.04
0.15,4006,time_decayed,0.68,4.28,0.04
0.15,4007,majority_vote,0.72,4.58,0.0
0.15,4007,reputation_weighted,0.94,4.58,0.0
0.15,4007,time_decayed,0.82,4.58,0.0
0.15,4008,majority_vote,0.78,5.22,0.0
0.15,4008,reputation_weighted,0.88,5.22,0.0
0.15,4008,time_decayed,0.76,5.22,0.0
0.15,4009,majority_vote,0.68,4.58,0.0
0.15,4009,reputation_weighted,0.9,4.58,0.0
0.15,4009,time_decayed,0.78,4.58,0.0
0.15,4010,majority_vote,0.68,4.3,0.02
0.15,4010,reputation_weighted,0.78,4.3,0.02
0.15,4010,time_decayed,0.76,4.3,0.02
0.15,4011,majority_vote,0.78,4.66,0.02
0.15,4011,reputation_weighted,0.98,4.66,0.02
0.15,4011,time_decayed,0.96,4.66,0.02
0.15,4012,majority_vote,0.66,4.44,0.02
0.15,4012,reputation_weighted,0.82,4.44,0.02
0.15,4012,time_decayed,0.78,4.44,0.02
0.15,4013,majority_vote,0.66,4.1,0.0
0.15,4013,reputation_weighted,0.88,4.1,0.0
0.15,4013,time_decayed,0.82,4.1,0.0
0.15,4014,majority_vote,0.56,4.3,0.02
0.15,4014,reputation_weighted,0.8,4.3,0.02
0.15,4014,time_decayed,0.74,4.3,0.02
0.15,4015,majority_vote,0.64,4.46,0.0
0.15,4015,reputation_weighted,0.82,4.46,0.0
0.15,4015,time_decayed,0.78,4.46,0.0
0.15,4016,majority_vote,0.66,4.76,0.0
0.15,4016,reputation_weighted,0.88,4.76,0.0
0.15,4016,time_decayed,0.84,4.76,0.0
0.15,4017,majority_vote,0.62,4.42,0.0
0.15,4017,reputation_weighted,0.92,4.42,0.0
0.15,4017,time_decayed,0.82,4.42,0.0
0.15,4018,majority_vote,0.58,4.4,0.0
0.15,4018,reputation_weighted,0.76,4.4,0.0
0.15,4018,time_decayed,0.66,4.4,0.0
0.15,4019,majority_vote,0.76,4.58,0.0
0.15,4019,reputation_weighted,0.9,4.58,0.0
0.15,4019,time_decayed,0.86,4.58,0.0
0.15,4020,majority_vote,0.74,4.66,0.02
0.15,4020,reputation_weighted,0.94,4.66,0.02
0.15,4020,time_decayed,0.76,4.66,0.02
0.15,4021,majority_vote,0.72,3.98,0.0
0.15,4021,reputation_weighted,0.9,3.98,0.0
0.15,4021,time_decayed,0.78,3.98,0.0
0.15,4022,majority_vote,0.78,4.16,0.0
0.15,4022,reputation_weighted,0.88,4.16,0.0
0.15,4022,time_decayed,0.84,4.16,0.0
0.15,4023,majority_vote,0.72,4.36,0.0
0.15,4023,reputation_weighted,0.9,4.36,0.0
0.15,4023,time_decayed,0.78,4.36,0.0
0.15,4024,majority_vote,0.7,4.16,0.0
0.15,4024,reputation_weighted,0.88,4.16,0.0
0.15,4024,time_decayed,0.82,4.16,0.0
0.15,4025,majority_vote,0.66,4.28,0.0
0.15,4025,reputation_weighted,0.8,4.28,0.0
0.15,4025,time_decayed,0.8,4.28,0.0
0.15,4026,majority_vote,0.66,4.56,0.04
0.15,4026,reputation_weighted,0.88,4.56,0.04
0.15,4026,time_decayed,0.78,4.56,0.04
0.15,4027,majority_vote,0.76,4.74,0.0
0.15,4027,reputation_weighted,0.92,4.74,0.0
0.15,4027,time_decayed,0.84,4.74,0.0
0.15,4028,majority_vote,0.7,4.34,0.0
0.15,4028,reputation_weighted,0.86,4.34,0.0
0.15,4028,time_decayed,0.78,4.34,0.0
0.15,4029,majority_vote,0.62,4.88,0.0
0.15,4029,reputation_weighted,0.88,4.88,0.0
0.15,4029,time_decayed,0.78,4.88,0.0
0.2,4000,majority_vote,0.74,5.94,0.0
0.2,4000,reputation_weighted,0.98,5.94,0.0
0.2,4000,time_decayed,0.92,5.94,0.0
0.2,4001,majority_vote,0.48,5.86,0.0
0.2,4001,reputation_weighted,0.84,5.86,0.0
0.2,4001,time_decayed,0.84,5.86,0.0
0.2,4002,majority_vote,0.78,6.06,0.0
0.2,4002,reputation_weighted,0.98,6.06,0.0
0.2,4002,time_decayed,0.88,6.06,0.0
0.2,4003,majority_vote,0.66,5.8,0.0
0.2,4003,reputation_weighted,0.9,5.8,0.0
0.2,4003,time_decayed,0.84,5.8,0.0
0.2,4004,majority_vote,0.56,5.78,0.02
0.2,4004,reputation_weighted,0.88,5.78,0.02
0.2,4004,time_decayed,0.8,5.78,0.02
0.2,4005,majority_vote,0.78,6.5,0.0
0.2,4005,reputation_weighted,0.96,6.5,0.0
0.2,4005,time_decayed,0.9,6.5,0.0
0.2,4006,majority_vote,0.72,5.8,0.0
0.2,4006,reputation_weighted,0.88,5.8,0.0
0.2,4006,time_decayed,0.9,5.8,0.0
0.2,4007,majority_vote,0.64,6.16,0.0
0.2,4007,reputation_weighted,0.92,6.16,0.0
0.2,4007,time_decayed,0.9,6.16,0.0
0.2,4008,majority_vote,0.56,6.94,0.0
0.2,4008,reputation_weighted,1.0,6.94,0.0
0.2,4008,time_decayed,0.9,6.94,0.0
0.2,4009,majority_vote,0.68,6.1,0.0
0.2,4009,reputation_weighted,0.92,6.1,0.0
0.2,4009,time_decayed,0.9,6.1,0.0
0.2,4010,majority_vote,0.7,6.06,0.0
0.2,4010,reputation_weighted,0.88,6.06,0.0
0.2,4010,time_decayed,0.76,6.06,0.0
0.2,4011,majority_vote,0.82,6.0,0.02
0.2,4011,reputation_weighted,0.9,6.0,0.02
0.2,4011,time_decayed,0.92,6.0,0.02
0.2,4012,majority_vote,0.68,5.8,0.0
0.2,4012,reputation_weighted,0.92,5.8,0.0
0.2,4012,time_decayed,0.86,5.8,0.0
0.2,4013,majority_vote,0.78,5.54,0.0
0.2,4013,reputation_weighted,0.98,5.54,0.0
0.2,4013,time_decayed,0.86,5.54,0.0
